Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,Ville
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04034,VITRY-SUR-SEINE,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,51.0,50.974485405279765,µg-m3,,,,R,1,48.775897,2.375788,Vitry-sur-Seine
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04037,PARIS 13eme,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,49.0,49.24784921369098,µg-m3,,,,R,1,48.82861,2.360278,Paris
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04038,Zone Rurale SO,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,62.0,62.20814553990605,µg-m3,,,,R,1,48.581944,1.883333,Sonchamp
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04048,Zone Rurale Nord,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,59.0,59.15997252118152,µg-m3,,,,R,1,49.100277,2.343889,Saint-Martin-du-Tertre
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04049,LES ULIS,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,58.0,57.98939186099679,µg-m3,,,,R,1,48.679443,2.165556,Les Ulis
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04055,PARIS 1er Les Halles,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,50.0,49.74853566096255,µg-m3,,,,R,1,48.86212,2.344616,Paris
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04063,MANTES-LA-JOLIE,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,48.0,47.83496764917325,µg-m3,,,,N,-1,48.9964,1.7033,Mantes-la-Jolie
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04066,Zone rurale Sud,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,58.0,58.05160994614422,µg-m3,,,,R,1,48.364166,2.236944,Bois-Herpin
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04069,MELUN,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,49.0,48.8131444496052,µg-m3,,,,R,1,48.54139,2.661389,Melun
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04098,LOGNES,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,52.0,51.982586779699766,µg-m3,,,,R,1,48.84028,2.635278,Lognes
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04100,VILLEMOMBLE,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,49.0,48.74306318681323,µg-m3,,,,R,1,48.881947,2.507222,Villemomble
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04101,CHAMPIGNY-SUR-MARNE,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,43.0,43.36696552790224,µg-m3,,,,N,-1,48.816387,2.5175,Champigny-sur-Marne
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04142,Zone Rurale Nord-Est,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,59.0,58.95040018294083,µg-m3,,,,R,1,49.028057,2.750278,Montgé-en-Goële
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04149,MONTGERON,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,50.0,50.17278966029964,µg-m3,,,,R,1,48.7067,2.4572,Montgeron
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04158,Zone Rurale NO,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,61.0,60.60446675900271,µg-m3,,,,R,1,49.063087,1.866381,Frémainville
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04181,RAMBOUILLET,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,57.0,56.93431350114405,µg-m3,,,,R,1,48.63373,1.830529,Rambouillet
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZAG01,ZAG PARIS,FR04319,TREMBLAY-EN-FRANCE,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,45.0,44.64295147861034,µg-m3,,,,N,-1,48.95555,2.575278,Tremblay-en-France
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04324,Zone Rurale Est,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,53.0,52.83371095090973,µg-m3,,,,R,1,48.761665,3.058333,Beautheil-Saints
2022/01/01 00:00:00,2022/12/31 23:59:59,AIRPARIF,FR11ZRE01,ZR ILE-DE-FRANCE,FR04328,Zone Rurale SE,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,57.0,56.99833715596329,µg-m3,,,,R,1,48.3547,2.6453,Fontainebleau
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZAR01,ZAR LE-HAVRE,FR05010,St Romain de Colbosc,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,59.0,59.02901881400325,µg-m3,,,,R,1,49.528927,0.358733,Saint-Romain-de-Colbosc
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR05040,Honfleur Sce Tech.,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,56.0,55.65958627065753,µg-m3,,,,R,1,49.415108,0.2437,Honfleur
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZAR01,ZAR LE-HAVRE,FR05074,Le Havre Ec. Herriot,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,60.0,60.111209097238245,µg-m3,,,,R,1,49.48963,0.100703,Le Havre
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR05082,Touques,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,60.0,59.51125893077117,µg-m3,,,,R,1,49.348,0.109253,Touques
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR05087,Maison Parc Brotonne,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,54.0,54.137158533738,µg-m3,,,,R,1,49.498417,0.758697,Notre-Dame-de-Bliquetuit
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR05088,Fécamp,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,54.0,53.8851416480546,µg-m3,,,,R,1,49.749942,0.415019,Fécamp
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NORMANDIE,FR28ZAR01,ZAR LE-HAVRE,FR05090,Le Havre ville-haute,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,62.0,61.55709006928408,µg-m3,,,,R,1,49.514686,0.100645,Le Havre
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR06001,Valenciennes Acacias,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,49.0,49.293628873157736,µg-m3,,,,R,1,50.35853,3.50804,Valenciennes
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR06003,Douai Theuriet,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,49.0,49.3639806079664,µg-m3,,,,N,-1,50.37822,3.06586,Douai
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR06007,Maubeuge Joyeuse,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,58.0,57.76896875419072,µg-m3,,,,R,1,50.27936,3.97691,Maubeuge
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR06011,Denain Villars,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,57.0,56.69379232505649,µg-m3,,,,R,1,50.32276,3.39593,Denain
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR06133,Cartignies,Rurale près des villes,O3,Fond,Oui,mesures fixes,Moy. annuelle,55.0,55.00976976489219,µg-m3,,,,R,1,50.09225,3.85003,Cartignies
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO HAUTS DE FRANCE,FR32ZAG01,ZAG BLDV,FR06134,Saint Amand,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,48.0,47.65332537313432,µg-m3,,,,R,1,50.45647,3.42794,Saint-Amand-les-Eaux
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07004,Montferrand,Urbaine,O3,Fond,Oui,mesures indicatives,Moy. annuelle,54.0,53.87752276867031,µg-m3,,,,R,1,45.79728,3.113833,Clermont-Ferrand
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZAG04,ZAG CLERMONT-FERRAND,FR07009,Jardin Lecoq,Urbaine,O3,Fond,Oui,mesures indicatives,Moy. annuelle,52.0,51.74425702811246,µg-m3,,,,R,1,45.772167,3.0875,Clermont-Ferrand
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07022,Paray le Fresil,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,51.0,50.62246096043212,µg-m3,,,,R,1,46.652668,3.600667,Paray-le-Frésil
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07031,Rageade,Rurale régionale,O3,Fond,Oui,mesures indicatives,Moy. annuelle,81.0,80.77918034780492,µg-m3,,,,R,1,45.10472,3.277361,Rageade
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07052,Aurillac-Lagarde,Urbaine,O3,Fond,Oui,mesures indicatives,Moy. annuelle,64.0,64.05578790995325,µg-m3,,,,R,1,44.92008,2.441082,Aurillac
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07054,Le Puy-Causans,Urbaine,O3,Fond,Oui,mesures indicatives,Moy. annuelle,58.0,57.61237415125253,µg-m3,,,,R,1,45.039001,3.887001,Le Puy-en-Velay
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO AUVERGNE-RHÔNE-ALPES,FR84ZRE02,ZR AUVERGNE-RHONE-ALPES,FR07056,Pays du Mezenc,Rurale régionale,O3,Fond,Oui,mesures fixes,Moy. annuelle,81.0,80.76260162601633,µg-m3,,,,R,1,44.98377,4.226006,Fay-sur-Lignon
