polluant;ville;valeur;valeur_brute;codgeo;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
PM2.5;Tours;10.0;10.356210819596033;37261;138668.0;21250.0;3999.7;45.6;7.8;45.0;5162.0;71.2;1.9;0.0
PM2.5;Trélissac;10.0;9.510928212162806;24557;7319.0;23230.0;319.9;78.1;1.5;1.0;335.0;76.6;6.5;0.0
PM2.5;Valence;11.0;11.287049682128586;26362;64288.0;20610.0;1752.2;43.0;10.8;20.0;3307.0;72.9;3.2;0.0
PM2.5;Valenciennes;15.0;14.827012302284697;59606;42979.0;20250.0;3109.9;34.8;4.8;11.0;1854.0;68.4;1.1;0.0
PM2.5;Vannes;9.0;8.857077468817979;56260;54955.0;24070.0;1701.4;44.1;6.3;22.0;3080.0;70.8;3.4;1.0
PM2.5;Vaulx-en-Velin;10.0;10.145464494163424;69256;52448.0;17180.0;2503.5;53.4;10.3;2.0;1893.0;67.8;11.0;0.0
PM2.5;Verdun;9.0;9.358878950506872;55545;16610.0;20350.0;535.3;36.4;11.8;10.0;714.0;73.6;2.2;1.0
PM2.5;Verneuil;8.0;7.641720304271513;18277;35.0;;3.2;0.0;0.0;0.0;1.0;71.4;0.0;0.0
PM2.5;Villefranche-sur-Saône;11.0;10.91957466807663;69264;36224.0;19640.0;3821.1;54.9;10.7;9.0;1728.0;72.5;3.2;1.0
PM2.5;Villiers-en-Bois;8.0;7.901511394497566;79350;124.0;23150.0;6.7;82.4;3.7;0.0;6.0;80.0;0.0;0.0
PM2.5;Vitry-sur-Seine;10.0;10.473141157629811;94081;95282.0;19490.0;8164.7;52.0;9.1;3.0;2111.0;72.0;7.7;0.0
PM2.5;Yzeure;12.0;11.685266821345715;3321;12670.0;23540.0;293.0;35.2;9.7;1.0;384.0;70.8;7.2;0.0
PM2.5;Épernay;8.0;8.3502189608238;51230;22022.0;20590.0;970.6;30.5;29.3;10.0;933.0;75.3;2.5;1.0
PM2.5;Évreux;9.0;8.688785261945883;27229;48335.0;18580.0;1826.7;30.4;10.2;12.0;1810.0;70.7;2.8;0.0
