polluant;ville;valeur;valeur_brute;codgeo;nom_commune;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
O3;Saint-Jean-de-Maurienne;55.0;55.21646816307831;73248;Saint-Jean-de-Maurienne;7524.0;21840.0;653.7;38.6;20.2;5.0;442.0;74.9;6.3;1.0
O3;Saint-Junien;54.0;54.12081852573655;87154;Saint-Junien;11382.0;22060.0;200.3;44.1;16.0;3.0;479.0;75.8;5.7;1.0
O3;Saint-Laurent-Blangy;51.0;50.93842803030296;62753;Saint-Laurent-Blangy;6492.0;21570.0;660.4;47.5;14.5;1.0;328.0;78.3;9.6;0.0
O3;Saint-Lô;57.0;57.49691725876698;50502;Saint-Lô;19352.0;21010.0;834.5;32.3;5.6;9.0;1091.0;72.7;2.8;0.0
O3;Saint-Malo;60.0;60.48035527690713;35288;Saint-Malo;47255.0;23490.0;1291.8;47.7;12.1;77.0;2525.0;73.5;4.4;3.0
O3;Saint-Martin-d'Hères;42.0;41.5110601247205;38421;Saint-Martin-d'Hères;38022.0;21160.0;4106.0;28.3;2.7;1.0;1005.0;63.6;4.8;0.0
O3;Saint-Nazaire;62.0;61.76157380815618;44184;Saint-Nazaire;73111.0;21900.0;1562.5;32.1;26.5;11.0;2188.0;74.1;4.4;1.0
O3;Saint-Nazaire-le-Désert;61.0;60.98485645659388;26321;Saint-Nazaire-le-Désert;205.0;16760.0;4.4;35.5;0.0;1.0;10.0;67.2;22.6;1.0
O3;Saint-Omer;48.0;47.974393002563566;62765;Saint-Omer;14358.0;18120.0;875.5;37.1;6.6;6.0;678.0;70.7;3.1;0.0
O3;Saint-Parres-aux-Tertres;54.0;53.72403630790993;10357;Saint-Parres-aux-Tertres;3214.0;23550.0;271.9;73.5;0.9;2.0;178.0;76.5;1.2;0.0
O3;Saint-Quentin;52.0;51.52490701999068;2691;Saint-Quentin;52995.0;18400.0;2349.1;41.6;7.0;8.0;1768.0;68.1;3.3;1.0
O3;Saint-Romain-de-Colbosc;59.0;59.02901881400325;76647;Saint-Romain-de-Colbosc;4608.0;24950.0;392.5;60.6;13.4;0.0;206.0;80.7;7.0;0.0
O3;Saint-Étienne;54.0;53.97522039552073;42218;Saint-Étienne;172569.0;19010.0;2157.9;41.6;7.9;21.0;6205.0;68.2;3.8;1.0
O3;Sainte-Savine;50.0;50.06263406758156;10362;Sainte-Savine;10457.0;21590.0;1385.0;46.6;25.5;1.0;321.0;75.0;5.3;0.0
O3;Salon-de-Provence;65.0;65.00077972709552;13103;Salon-de-Provence;44553.0;22400.0;633.8;52.7;5.4;16.0;1892.0;75.2;5.1;2.0
O3;Salouël;45.0;45.48333333333337;80725;Salouël;4188.0;26820.0;978.5;68.5;3.1;0.0;74.0;60.5;1.9;0.0
O3;Sangatte;51.0;51.39657192720016;62774;Sangatte;4755.0;23630.0;333.0;25.9;7.0;2.0;82.0;74.1;7.2;2.0
O3;Sausset-les-Pins;73.0;73.44703017343791;13104;Sausset-les-Pins;7556.0;28750.0;624.5;51.2;3.8;2.0;183.0;74.8;2.8;0.0
O3;Saze;64.0;64.47826490373451;30315;Saze;2097.0;24560.0;166.4;41.6;4.1;0.0;44.0;80.0;31.0;0.0
O3;Schœneck;57.0;57.44719251336908;57638;Schœneck;2442.0;24080.0;601.5;17.3;48.7;0.0;33.0;77.0;1.0;0.0
O3;Scy-Chazelles;54.0;53.926047444824746;57642;Scy-Chazelles;2665.0;28380.0;589.6;67.8;0.3;0.0;80.0;75.3;7.9;0.0
O3;Sens;54.0;53.58099537037034;89387;Sens;27275.0;18610.0;1245.4;38.7;11.1;6.0;1217.0;71.4;3.6;0.0
O3;Sonchamp;62.0;62.20814553990605;78601;Sonchamp;1664.0;30050.0;35.8;25.3;1.6;0.0;39.0;79.2;5.8;0.0
O3;Sotteville-lès-Rouen;53.0;52.77852047860112;76681;Sotteville-lès-Rouen;29039.0;21230.0;3903.1;42.0;9.2;0.0;643.0;73.9;9.1;0.0
O3;Spay;54.0;53.98735751295329;72344;Spay;2821.0;25090.0;198.4;41.1;37.0;0.0;69.0;74.4;16.8;1.0
O3;Strasbourg;48.0;48.345318701844434;67482;Strasbourg;291709.0;20260.0;3727.4;48.4;4.4;83.0;11377.0;68.7;2.0;1.0
O3;Talence;59.0;58.89813943978744;33522;Talence;45869.0;24260.0;5493.3;38.3;0.9;2.0;864.0;66.5;3.0;0.0
O3;Tarbes;53.0;53.32721872401097;65440;Tarbes;44529.0;19070.0;2904.7;36.2;5.0;13.0;1907.0;64.8;3.2;0.0
O3;Ternay;57.0;56.585467208357535;69297;Ternay;5582.0;27400.0;692.6;52.0;19.4;0.0;162.0;78.2;19.4;0.0
O3;Terval;59.0;58.59189374856901;85289;Terval;2173.0;21160.0;47.5;36.5;29.3;0.0;74.0;75.3;14.7;1.0
O3;Thionville;55.0;55.09479084287213;57672;Thionville;42778.0;24850.0;857.6;43.8;6.4;8.0;1494.0;77.0;2.9;1.0
O3;Toulon;65.0;65.25747636278747;83137;Toulon;180834.0;20960.0;4221.1;31.7;7.2;17.0;4967.0;71.3;2.5;0.0
