Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,Ville,CODGEO
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG01,ZAG TOURS,FR34028,Pompidou,Urbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,42.0,41.69087221095355,µg-m3,96.0,99.0,96.0,R,1,47.394639,0.704861,Tours,37261.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAG02,ZAG ORLEANS,FR34029,La_Source-CNRS,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,9.0,8.501691794222536,µg-m3,99.0,100.0,99.0,R,1,47.83775,1.944667,Orléans,45234.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34030,Bourges-Baffier,Urbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,19.0,19.156529209622004,µg-m3,100.0,100.0,100.0,R,1,47.075044,2.407183,Bourges,18033.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34032,Leblanc,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,12.0,11.9822437449556,µg-m3,99.0,100.0,99.0,R,1,47.082778,2.405333,Bourges,18033.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34038,Verneuil,Rurale nationale,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,3.0,3.4239043368806565,µg-m3,100.0,100.0,100.0,R,1,46.814694,2.610069,Verneuil,18277.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34043,Oysonville,Rurale régionale,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,7.0,7.117288329519429,µg-m3,100.0,100.0,100.0,R,1,48.391139,1.955611,Oysonville,28294.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34046,Dreux Centre,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,10.0,9.6918128654971,µg-m3,100.0,100.0,100.0,R,1,48.729694,1.358472,Dreux,28134.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34047,Saint-Remy,Périurbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,70.0,69.63418013856808,µg-m3,99.0,100.0,99.0,R,1,48.760889,1.233639,Saint-Rémy-sur-Avre,28359.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34048,Chartres_trafic,Urbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,24.0,23.52158722813521,µg-m3,99.0,99.0,99.0,R,1,48.449158,1.492469,Chartres,28085.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34051,Chateauroux Sud,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,12.0,12.080488385943994,µg-m3,96.0,100.0,96.0,R,1,46.798278,1.693139,Châteauroux,36044.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,11.0,10.877734553775744,µg-m3,100.0,100.0,100.0,R,1,47.594256,1.302667,Blois,41018.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34063,Blois_trafic,Urbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,43.0,43.056877822531774,µg-m3,96.0,97.0,94.0,R,1,47.586544,1.326533,Blois,41018.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34064,Montargis_trafic,Urbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,50.0,49.515080124372254,µg-m3,99.0,97.0,95.0,R,1,48.006936,2.740111,Montargis,45208.0
2022/01/01 00:00:00,2022/12/31 23:59:59,LIG'AIR,FR24ZRE02,ZR CENTRE-VAL-DE-LOIRE,FR34065,Montargis Fond,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,18.0,17.68045553893941,µg-m3,99.0,100.0,99.0,R,1,47.996994,2.731511,Montargis,45208.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR35002,ST JUNIEN - Fontaine,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,8.0,7.830534531693484,µg-m3,97.0,100.0,97.0,R,1,45.884851,0.898431,Saint-Junien,87154.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR35004,BRIVE - Dalton,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,18.0,17.798046468616338,µg-m3,99.0,99.0,99.0,R,1,45.158738,1.537259,Brive-la-Gaillarde,19031.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR35005,GUERET - Nicolas,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,16.0,16.238254868129168,µg-m3,93.0,100.0,93.0,R,1,46.17362,1.873024,Guéret,23096.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR35006,TULLE - Hugo,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,15.0,15.48702865761688,µg-m3,98.0,100.0,98.0,R,1,45.262665,1.762752,Tulle,19272.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZAR01,ZAR LIMOGES,FR35010,LIMOGES - Aine,Urbaine,NOX as NO2,Trafic,Oui,mesures fixes,Moy. annuelle,43.0,43.01659114674082,µg-m3,98.0,100.0,98.0,R,1,45.829975,1.254772,Limoges,87085.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR35019,SAILLAT - Ipaper,Rurale près des villes,NOX as NO2,Industrielle,Oui,mesures fixes,Moy. annuelle,7.0,6.969584014956795,µg-m3,98.0,100.0,98.0,R,1,45.875834,0.823951,Saillat-sur-Vienne,87131.0
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZAR01,ZAR LIMOGES,FR35027,LIMOGES - BERLAND,Urbaine,NOX as NO2,Fond,Oui,mesures fixes,Moy. annuelle,22.0,22.36215437788013,µg-m3,99.0,100.0,99.0,R,1,45.842204,1.259689,Limoges,87085.0
