polluant;ville;valeur;valeur_brute;codgeo;nom_commune;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
NOX as NO2;Bordeaux;42.0;42.02788586967774;33063;Bordeaux;265328.0;24870.0;5375.4;50.4;4.1;85.0;14548.0;73.5;1.9;0.0
NOX as NO2;Bouguenais;20.0;20.247828584558764;44020;Bouguenais;20590.0;23740.0;653.7;45.9;26.3;3.0;595.0;77.5;8.7;0.0
NOX as NO2;Bourges;15.5;15.569386477288802;18033;Bourges;64238.0;21730.0;934.5;40.3;13.8;17.0;2326.0;71.2;3.4;1.0
NOX as NO2;Brest;30.0;29.721624029428543;29019;Brest;140993.0;21420.0;2847.8;41.9;11.8;25.0;4160.0;69.0;3.3;1.0
NOX as NO2;Brive-la-Gaillarde;18.0;17.798046468616338;19031;Brive-la-Gaillarde;46769.0;21210.0;962.5;44.8;14.8;21.0;2265.0;73.5;5.3;0.0
NOX as NO2;Bétheny;20.0;20.039566952945417;51055;Bétheny;7030.0;24450.0;353.3;53.9;9.1;1.0;228.0;77.5;20.9;0.0
NOX as NO2;Béthune;18.0;17.82778552414755;62119;Béthune;25342.0;19290.0;2678.9;37.7;8.8;5.0;1106.0;69.1;2.1;0.0
NOX as NO2;Caen;16.0;16.28721183621971;14118;Caen;108398.0;21600.0;4217.8;35.6;2.3;32.0;4516.0;66.2;1.6;0.0
NOX as NO2;Calais;19.0;18.99516737388027;62193;Calais;67585.0;18090.0;2017.5;40.5;10.3;15.0;1742.0;67.7;3.4;1.0
NOX as NO2;Cannes;23.0;22.550427153082424;6029;Cannes;74040.0;21210.0;3773.7;59.0;7.4;91.0;4759.0;73.5;2.6;1.0
NOX as NO2;Cappelle-la-Grande;17.0;17.22913169786963;59131;Cappelle-la-Grande;7865.0;20700.0;1440.5;42.8;12.8;0.0;122.0;72.9;14.9;0.0
NOX as NO2;Carling;26.0;26.10178506375229;57123;Carling;3332.0;20940.0;1247.9;40.1;8.2;0.0;65.0;71.6;25.0;0.0
NOX as NO2;Cartignies;8.0;7.6413489736070686;59134;Cartignies;1234.0;21380.0;46.7;30.1;9.7;0.0;29.0;77.4;7.8;0.0
NOX as NO2;Castres;9.0;8.790318380873495;81065;Castres;42700.0;20940.0;435.0;45.2;11.8;11.0;1639.0;72.0;4.6;1.0
NOX as NO2;Cerisé;12.0;12.189900509023616;61077;Cerisé;853.0;21400.0;193.0;77.2;6.3;1.0;67.0;72.3;7.3;0.0
NOX as NO2;Chalampé;23.0;23.21280292638309;68064;Chalampé;996.0;27780.0;208.8;2.5;96.2;0.0;15.0;78.1;0.0;0.0
NOX as NO2;Chalon-sur-Saône;35.0;34.68420691233698;71076;Chalon-sur-Saône;44592.0;19590.0;2929.8;41.3;17.0;13.0;1901.0;75.1;1.9;0.0
NOX as NO2;Champforgeuil;21.0;20.545489277791443;71081;Champforgeuil;2616.0;20630.0;358.8;34.0;46.9;1.0;97.0;75.5;7.0;0.0
NOX as NO2;Champigny-sur-Marne;32.0;31.728017539810693;94017;Champigny-sur-Marne;78367.0;21260.0;6935.1;37.4;9.1;2.0;1935.0;73.9;16.5;1.0
NOX as NO2;Charleville-Mézières;19.0;19.043201754385937;8105;Charleville-Mézières;45634.0;18380.0;1451.5;34.6;8.2;11.0;1735.0;68.6;1.7;1.0
NOX as NO2;Chartres;24.0;23.52158722813521;28085;Chartres;37990.0;22770.0;2254.6;43.5;16.4;16.0;1870.0;76.5;1.4;0.0
NOX as NO2;Cherbourg-en-Cotentin;16.0;16.047862954050643;50129;Cherbourg-en-Cotentin;78028.0;22650.0;1138.4;41.7;19.4;23.0;2165.0;74.7;3.4;4.0
NOX as NO2;Cholet;12.0;11.712584372497371;49099;Cholet;54074.0;21960.0;618.2;40.1;26.1;18.0;2258.0;76.5;4.4;1.0
NOX as NO2;Châlons-en-Champagne;15.0;14.599976891969972;51108;Châlons-en-Champagne;43218.0;20320.0;1659.0;30.8;5.6;10.0;1319.0;72.5;1.9;1.0
NOX as NO2;Châteauroux;12.0;12.080488385943994;36044;Châteauroux;43079.0;20300.0;1686.7;36.1;10.4;8.0;1550.0;72.1;2.4;1.0
NOX as NO2;Colmar;33.0;33.37009269988409;68066;Colmar;67360.0;21120.0;1011.9;39.9;11.6;32.0;3025.0;75.6;4.1;0.0
NOX as NO2;Contes;20.0;19.70358698143476;6048;Contes;7722.0;24870.0;396.6;36.8;8.8;1.0;241.0;79.9;10.5;1.0
NOX as NO2;Creil;28.0;27.557811704834563;60175;Creil;36494.0;15440.0;3290.7;33.7;7.7;3.0;911.0;63.8;4.6;0.0
NOX as NO2;Damparis;14.0;13.658865505563586;39189;Damparis;2590.0;22040.0;292.7;47.6;30.5;0.0;36.0;73.5;2.0;0.0
NOX as NO2;Dax;17.0;17.00004667444569;40088;Dax;21716.0;20570.0;1102.3;39.7;7.4;18.0;1190.0;73.2;3.1;3.0
NOX as NO2;Denain;21.0;20.77153882132844;59172;Denain;20622.0;14890.0;1790.1;29.4;6.6;0.0;476.0;62.9;6.0;0.0
NOX as NO2;Dieppe;66.0;65.59607240033127;76217;Dieppe;28599.0;18850.0;2450.6;39.9;10.7;15.0;1132.0;67.6;1.4;0.0
NOX as NO2;Dijon;26.5;26.854701942348758;21231;Dijon;159941.0;22720.0;3958.0;42.6;4.5;40.0;5701.0;70.3;2.7;1.0
NOX as NO2;Dole;17.0;17.205253413561618;39198;Dole;23784.0;21070.0;619.9;37.8;13.9;9.0;1026.0;71.2;3.3;1.0
NOX as NO2;Donges;9.0;8.694213064042064;44052;Donges;8117.0;22520.0;167.4;29.8;40.5;0.0;173.0;80.7;14.1;1.0
NOX as NO2;Douai;20.0;19.72845625165202;59178;Douai;39833.0;18440.0;2359.8;37.8;9.9;4.0;1436.0;66.8;3.6;0.0
NOX as NO2;Dreux;10.0;9.6918128654971;28134;Dreux;31205.0;18250.0;1285.7;41.0;11.3;7.0;1033.0;68.5;3.5;0.0
NOX as NO2;Dunkerque;18.0;18.068849609176898;59183;Dunkerque;87013.0;20240.0;1982.5;38.3;12.5;13.0;2666.0;71.2;6.5;1.0
NOX as NO2;Forbach;22.0;22.396056270289723;57227;Forbach;21111.0;17540.0;1293.6;37.7;9.1;3.0;682.0;63.7;3.8;0.0
NOX as NO2;Frossay;5.0;5.184362469927844;44061;Frossay;3289.0;22520.0;57.5;29.9;5.4;0.0;71.0;80.7;8.8;1.0
NOX as NO2;Fréjus;11.0;11.354461821527142;83061;Fréjus;58499.0;21960.0;572.0;48.5;5.3;19.0;2567.0;74.5;10.4;19.0
NOX as NO2;Gap;39.5;39.621834895337656;5061;Gap;40656.0;22280.0;368.2;40.7;3.1;17.0;1926.0;74.8;5.3;2.0
NOX as NO2;Gennevilliers;37.0;36.94036359452302;92036;Gennevilliers;50874.0;18380.0;4370.6;56.6;19.5;11.0;1819.0;73.0;12.3;0.0
NOX as NO2;Gonesse;28.0;28.18010646915865;95277;Gonesse;26959.0;19140.0;1341.9;51.1;8.1;6.0;1057.0;71.5;8.1;0.0
NOX as NO2;Gonfreville-l'Orcher;13.0;12.827542226818318;76305;Gonfreville-l'Orcher;8939.0;20470.0;346.3;38.5;44.7;4.0;360.0;71.9;6.1;0.0
