code_geo,libelle,part_commerce_transport_services_2023,population_2022,nb_etablissements_2023,densite_population_2022,taux_activite_2022,mediane_niveau_vie_2021,part_industrie_2023,part_construction_2023,nb_hotels_2022,nb_campings_2022
57389,Lelling,27.8,460.0,7.0,93.5,74.8,24210.0,0.0,0.0,0.0,0.0
57390,Lemberg,40.7,1427.0,38.0,130.4,73.3,21400.0,16.4,14.8,0.0,0.0
57391,Lemoncourt,0.0,59.0,1.0,10.9,82.1,,0.0,0.0,0.0,0.0
57392,Lemud,93.1,524.0,19.0,123.6,82.0,23230.0,2.9,2.3,0.0,0.0
57393,Lengelsheim,0.0,189.0,2.0,35.7,69.6,21340.0,0.0,25.0,0.0,0.0
57394,Léning,56.2,329.0,7.0,50.7,79.0,22940.0,6.2,0.0,0.0,0.0
57395,Lesse,0.0,204.0,8.0,24.5,75.8,22800.0,0.0,12.5,0.0,0.0
57396,Lessy,42.9,794.0,9.0,278.6,72.6,31470.0,0.0,41.1,0.0,0.0
57397,Ley,0.0,107.0,8.0,17.5,82.3,25630.0,0.0,56.0,0.0,0.0
57398,Leyviller,45.0,506.0,8.0,69.8,75.4,21890.0,0.0,10.0,0.0,0.0
57399,Lezey,0.0,90.0,3.0,12.0,85.2,,16.7,0.0,0.0,0.0
57401,Lidrezing,0.0,83.0,4.0,8.3,69.2,,0.0,0.0,0.0,0.0
57402,Liederschiedt,0.0,117.0,4.0,19.5,79.5,23960.0,16.7,41.7,0.0,0.0
57403,Liéhon,45.5,131.0,6.0,24.3,81.5,24200.0,0.0,18.2,0.0,0.0
57404,Lindre-Basse,10.5,222.0,6.0,26.8,71.4,23740.0,0.0,0.0,0.0,0.0
57405,Lindre-Haute,0.0,49.0,1.0,19.9,76.0,,0.0,0.0,0.0,0.0
57406,Liocourt,0.0,143.0,2.0,45.1,82.1,25810.0,50.0,0.0,0.0,0.0
57407,Lixheim,29.6,564.0,10.0,142.4,81.6,22380.0,25.9,22.2,0.0,0.0
57408,Lixing-lès-Rouhling,14.3,810.0,8.0,191.9,72.8,23830.0,0.0,23.8,0.0,0.0
57409,Lixing-lès-Saint-Avold,34.9,672.0,13.0,106.3,78.6,24160.0,44.2,4.7,0.0,0.0
57410,Lhor,0.0,145.0,5.0,26.9,77.3,19940.0,0.0,14.3,0.0,0.0
57411,Lommerange,76.5,383.0,6.0,48.1,74.8,25040.0,0.0,11.8,0.0,0.0
57412,Longeville-lès-Metz,66.0,4017.0,125.0,1482.3,78.7,25800.0,3.1,8.7,0.0,0.0
57413,Longeville-lès-Saint-Avold,46.8,3592.0,148.0,146.4,74.8,23860.0,34.3,6.3,0.0,0.0
57414,Lorquin,5.7,1134.0,36.0,129.3,66.9,23250.0,1.2,1.2,0.0,0.0
57415,Lorry-lès-Metz,19.9,1726.0,19.0,283.4,78.5,31000.0,4.4,14.0,0.0,0.0
57416,Lorry-Mardigny,25.0,678.0,11.0,59.7,80.7,25360.0,0.0,25.0,0.0,0.0
57417,Lostroff,0.0,71.0,3.0,14.3,76.1,,0.0,0.0,0.0,0.0
57418,Loudrefing,22.2,301.0,4.0,13.1,76.0,20210.0,0.0,0.0,0.0,0.0
57419,Loupershouse,56.4,899.0,11.0,116.3,73.0,24950.0,5.1,7.7,0.0,0.0
57421,Loutzviller,0.0,152.0,1.0,47.2,74.4,21520.0,0.0,0.0,0.0,0.0
57422,Louvigny,57.1,879.0,27.0,55.6,81.7,26670.0,28.8,7.1,0.0,0.0
57423,Lubécourt,0.0,67.0,2.0,19.4,73.3,,0.0,50.0,0.0,0.0
57424,Lucy,0.0,228.0,3.0,31.0,76.5,23400.0,0.0,0.0,0.0,0.0
57425,Luppy,14.3,588.0,15.0,36.2,79.3,26050.0,10.7,21.4,0.0,0.0
57426,Luttange,16.0,955.0,12.0,74.4,81.1,26810.0,46.0,0.0,0.0,0.0
57427,Lutzelbourg,47.6,558.0,20.0,95.5,85.7,22910.0,18.3,9.8,1.0,0.0
57428,Macheren,44.8,2827.0,44.0,166.8,71.0,23900.0,16.6,7.2,0.0,0.0
57430,Mainvillers,0.0,322.0,6.0,48.1,72.9,24250.0,0.0,67.9,0.0,0.0
57431,Maizeroy,29.5,419.0,11.0,48.0,78.2,28610.0,10.7,0.0,0.0,0.0
57433,Maizières-lès-Metz,63.7,11725.0,190.0,1329.4,77.1,21380.0,6.1,4.4,0.0,0.0
57434,Maizières-lès-Vic,24.4,470.0,16.0,18.1,75.4,20740.0,0.0,9.8,0.0,0.0
57436,Malaucourt-sur-Seille,80.0,131.0,6.0,18.3,82.7,23540.0,0.0,0.0,0.0,0.0
57437,Malling,34.8,680.0,7.0,153.8,76.7,28950.0,4.3,39.1,0.0,1.0
57438,Malroy,86.1,353.0,6.0,99.7,79.7,29770.0,0.0,0.0,0.0,0.0
57439,Manderen-Ritzing,37.7,602.0,19.0,39.9,78.7,29240.0,3.3,8.2,0.0,0.0
57440,Manhoué,8.3,142.0,3.0,34.6,84.0,26900.0,0.0,0.0,0.0,0.0
57441,Manom,62.7,3074.0,66.0,295.9,79.4,30140.0,2.9,6.6,0.0,0.0
57442,Many,10.7,251.0,10.0,30.5,80.0,25110.0,32.1,25.0,0.0,0.0
57443,Marange-Silvange,33.5,6517.0,116.0,427.6,76.3,24080.0,5.6,9.6,0.0,0.0
57444,Marange-Zondrange,20.0,371.0,7.0,44.8,77.9,24190.0,0.0,0.0,0.0,0.0
57445,Marieulles,34.2,699.0,16.0,85.3,82.4,28890.0,0.0,24.1,0.0,0.0
57446,Marimont-lès-Bénestroff,0.0,53.0,2.0,13.3,84.8,,33.3,0.0,0.0,0.0
57447,Marly,58.0,9937.0,444.0,920.1,73.6,27920.0,4.9,20.0,0.0,0.0
57448,Marsal,14.3,234.0,10.0,21.1,74.8,21050.0,3.6,14.3,0.0,0.0
57449,Marsilly,25.0,585.0,7.0,181.7,77.3,29180.0,0.0,28.1,0.0,0.0
57451,Marthille,0.0,167.0,3.0,16.4,78.0,20780.0,0.0,0.0,0.0,0.0
57452,La Maxe,67.5,1058.0,50.0,140.1,77.9,28690.0,19.4,8.4,0.0,0.0
57453,Maxstadt,50.0,296.0,6.0,37.4,79.9,23940.0,0.0,12.5,0.0,0.0
57454,Mécleuves,84.5,1201.0,20.0,93.2,78.6,29310.0,6.2,3.7,0.0,0.0
57455,Mégange,33.3,140.0,4.0,28.2,68.7,21860.0,0.0,33.3,0.0,0.0
57456,Meisenthal,69.8,641.0,16.0,100.8,77.9,23980.0,0.8,23.0,1.0,0.0
57457,Menskirch,0.0,140.0,2.0,31.2,79.0,24910.0,0.0,0.0,0.0,0.0
57459,Merschweiller,42.9,290.0,4.0,50.3,82.5,30600.0,0.0,0.0,0.0,0.0
57460,Merten,51.8,1450.0,22.0,277.2,76.2,23690.0,8.4,12.0,0.0,0.0
57461,Métairies-Saint-Quirin,0.0,274.0,4.0,28.6,75.9,23700.0,0.0,0.0,0.0,0.0
57462,Metting,68.3,425.0,9.0,81.6,79.1,24350.0,9.8,0.0,0.0,0.0
57463,Metz,45.8,121695.0,5203.0,2901.6,70.9,20940.0,4.6,3.6,26.0,1.0
57464,Metzeresche,0.0,988.0,9.0,103.3,82.3,27070.0,16.7,20.0,0.0,0.0
57465,Metzervisse,40.0,2276.0,52.0,253.2,80.0,29260.0,12.9,11.0,0.0,0.0
57466,Metzing,20.0,693.0,7.0,107.4,77.2,23690.0,0.0,50.0,0.0,0.0
57467,Mey,60.0,308.0,3.0,161.3,75.5,26360.0,0.0,0.0,0.0,0.0
57468,Mittelbronn,36.0,642.0,14.0,83.3,79.8,23930.0,1.8,2.6,1.0,0.0
57469,Mittersheim,16.2,579.0,18.0,34.5,69.9,20480.0,10.8,50.0,1.0,1.0
57470,Molring,0.0,9.0,1.0,2.8,83.3,,0.0,0.0,0.0,0.0
57471,Momerstroff,68.8,297.0,10.0,48.1,80.5,25050.0,0.0,0.0,0.0,0.0
57472,Moncheux,11.1,146.0,5.0,19.9,75.8,22030.0,0.0,66.7,0.0,0.0
57473,Moncourt,70.0,63.0,5.0,9.3,82.5,,0.0,0.0,0.0,0.0
57474,Mondelange,67.0,5739.0,135.0,1399.8,77.5,21990.0,8.1,4.1,0.0,0.0
57475,Mondorff,10.0,582.0,4.0,151.6,79.4,36330.0,0.0,0.0,0.0,0.0
57476,Monneren,12.1,401.0,10.0,36.3,76.7,26590.0,24.2,6.1,0.0,0.0
57477,Montbronn,29.5,1583.0,36.0,105.6,77.9,22890.0,33.9,1.6,0.0,0.0
57478,Montdidier,0.0,87.0,3.0,45.1,69.4,,0.0,50.0,0.0,0.0
57479,Montenach,92.0,487.0,11.0,53.0,75.5,30650.0,0.0,0.0,1.0,0.0
57480,Montigny-lès-Metz,35.7,21869.0,396.0,3264.0,76.4,21930.0,13.3,5.5,0.0,0.0
57481,Montois-la-Montagne,47.3,2717.0,30.0,382.7,78.3,23450.0,11.5,11.0,0.0,0.0
57482,Ogy-Montoy-Flanville,86.5,1792.0,54.0,178.1,77.7,27120.0,0.1,7.3,0.0,0.0
57483,Morhange,41.9,3347.0,141.0,217.6,67.9,18610.0,25.4,9.7,1.0,0.0
57484,Morsbach,55.1,2657.0,75.0,522.0,73.5,20940.0,23.6,14.3,0.0,0.0
57485,Morville-lès-Vic,79.7,111.0,7.0,13.6,74.6,20660.0,0.0,17.4,0.0,0.0
57486,Morville-sur-Nied,0.0,118.0,3.0,20.9,70.3,19580.0,0.0,0.0,0.0,0.0
57487,Moulins-lès-Metz,77.5,5161.0,248.0,739.4,77.5,24460.0,4.8,2.1,1.0,0.0
57488,Moussey,48.8,567.0,23.0,71.9,74.5,20770.0,12.6,0.0,0.0,0.0
57489,Mouterhouse,12.5,273.0,4.0,6.4,78.6,20890.0,0.0,37.5,0.0,1.0
57490,Moyenvic,20.0,329.0,7.0,22.7,71.4,22520.0,0.0,0.0,0.0,0.0
57491,Moyeuvre-Grande,35.7,7320.0,92.0,763.3,71.2,19840.0,1.9,3.7,0.0,0.0
57492,Moyeuvre-Petite,28.6,443.0,5.0,81.6,78.6,21170.0,0.0,21.4,0.0,0.0
57493,Mulcey,61.5,209.0,4.0,25.1,72.3,23900.0,0.0,0.0,0.0,0.0
57494,Munster,0.0,235.0,8.0,35.6,74.1,21230.0,58.8,37.3,0.0,0.0
57495,Narbéfontaine,0.0,115.0,6.0,32.1,83.3,22460.0,0.0,0.0,0.0,0.0
57496,Nébing,10.0,332.0,9.0,45.1,73.5,20140.0,43.3,3.3,0.0,0.0
57497,Nelling,0.0,262.0,6.0,35.4,68.8,20420.0,85.0,3.3,0.0,0.0
