Code;Libellé;Part des effectifs des commerces, transports, services divers 2023;Population municipale 2022;Nombre d'établissements 2023;Densité de population (historique depuis 1876) 2022;Taux d'activité par tranche d'âge 2022;Médiane du niveau de vie 2021;Part des effectifs de l'industrie 2023;Part des effectifs de la construction 2023
35022;Bécherel;19.2;685;25;1201.8;80,0;21270;40.7;1,0
35023;Bédée;54.5;4571;157;117.4;81.6;24780;29.6;5,0
35024;Betton;62.6;12775;285;477.9;76.7;26890;5,0;4.6
35025;Billé;26.4;1038;24;61.2;80.2;22790;0,0;12.1
35026;Bléruais;0,0;98;1;29.4;90,0;17750;0,0;0,0
35027;Boisgervilly;13.6;1757;36;88.1;80.6;22750;45.7;21.1
35028;Boistrudan;32.3;726;12;56.7;82.6;22960;0,0;0,0
35029;Bonnemain;16.2;1533;30;64.5;80.3;20720;75.5;1.6
35030;La Bosse-de-Bretagne;20.8;691;10;67.7;80.8;22800;8.3;8.3
35031;La Bouëxière;18.5;4602;98;92.6;80.3;24290;5.5;6.4
35032;Bourgbarré;61.1;4692;112;330.4;81.7;24630;18.4;11.5
35033;Bourg-des-Comptes;44.4;3388;77;144.7;82.2;24440;0.9;22.2
35034;La Boussac;18.4;1250;25;57,0;79.4;21540;1,0;31.6
35035;Bovel;33.3;600;17;41.1;83.6;21420;0,0;19.4
35037;Bréal-sous-Montfort;48.2;6430;186;190.1;82.2;24290;15.4;11.7
35038;Bréal-sous-Vitré;11.2;614;15;106.8;83.2;23300;78.8;1.2
35039;Brécé;55.2;2185;73;305.2;76.7;24510;25.4;15,0
35040;Breteil;53.6;3678;72;250.2;78.7;23600;12.9;10.7
35041;Brie;60.2;1014;28;74.8;82.5;23840;25.7;8.8
35042;Brielles;18.5;679;12;59.6;82.6;22080;0,0;0,0
35044;Broualan;22.2;411;10;32.2;77.8;20490;0,0;11.1
35045;Bruc-sur-Aff;30.3;856;18;40.3;77.1;21480;0,0;0,0
35046;Les Brulais;0,0;541;6;45.2;69.5;20160;0,0;17.6
35047;Bruz;46.9;19667;628;656.7;72.1;25250;8.6;10.9
35049;Cancale;47.8;5554;282;440.4;74.4;25380;2.6;2.1
35050;Cardroc;72.9;598;14;80.9;82.1;24330;0,0;5.1
35051;Cesson-Sévigné;79.9;18076;1491;562.4;73.6;29450;5.9;4.3
35052;Champeaux;12.5;504;8;51.3;79.6;23890;0,0;18.8
35054;Chanteloup;46.2;1881;28;107.3;81.6;23630;0,0;6.6
35055;Chantepie;53.2;10378;352;866.3;79.5;24870;11.2;9.2
35056;La Chapelle-aux-Filtzméens;6.8;825;16;129.7;79,0;22710;3.1;3.7
35057;La Chapelle-Bouëxic;40.1;1527;29;73.9;83.3;22910;19.1;23.3
35058;La Chapelle-Chaussée;30.6;1299;15;88,0;82.4;23890;12.9;4.8
35059;La Chapelle-des-Fougeretz;57.7;4603;165;528.5;77.9;25490;13.1;15.6
35060;La Chapelle du Lou du Lac;8.6;1037;13;99.1;86,0;23310;0,0;12.1
35061;La Chapelle-Erbrée;5.6;723;8;60.4;78,0;21840;5.6;11.1
35062;La Chapelle-Fleurigné;39,0;2430;63;53.8;81.8;21980;5,0;12.7
35063;La Chapelle-Saint-Aubert;30.3;468;18;47.9;84.2;23380;31.8;20.5
35064;La Chapelle-de-Brain;44.9;1107;17;62.7;78.4;20420;0,0;10.2
35065;La Chapelle-Thouarault;36.5;2266;28;296.6;76.3;23720;5.9;2.4
35066;Chartres-de-Bretagne;33.7;8678;255;872.2;79.2;23890;49.4;2.5
35067;Chasné-sur-Illet;10.9;1702;10;179.7;79.2;26210;13,0;4.3
35068;Châteaubourg;42.4;7523;304;263,0;80.5;24830;38.1;4.3
35069;Châteaugiron;48.2;10688;264;454.4;80.4;26900;12.9;6.9
35070;Châteauneuf-d'Ille-et-Vilaine;13.2;1679;37;1216.7;82.8;22380;38.7;4.6
35071;Le Châtellier;48,0;427;12;31.8;83.3;22700;0,0;24,0
35072;Châtillon-en-Vendelais;31.9;1738;57;54.3;79.9;21810;27.6;15.1
35075;Chauvigné;13.8;807;13;45.6;77.3;21820;46.2;9.2
35076;Chavagne;35.5;4562;86;366.7;78.8;24610;7.4;24.1
35077;Chelun;2.2;354;13;31.5;80.4;20640;0,0;34.8
35078;Cherrueix;20,0;1106;47;87.2;71.5;22140;7.4;24,0
35079;Chevaigné;44.9;2396;39;231.9;79.5;26570;3.2;1.9
35080;Cintré;34.6;2614;32;314.2;78,0;24600;1.5;8.3
35081;Clayes;17.4;941;8;219.9;77,0;24420;0,0;0,0
35082;Coësmes;23.1;1435;22;61.7;77.6;21820;0,0;11,0
